Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat))
;;;;;;;;
BARCELONA;;126.133,5;82.544,2;48.744,4;33.773,2;654,4;386,5;267,8
;;;;;;;;
1;1. el Raval;2.955,5;1.634,3;932,5;700,2;553,0;315,5;236,9
1;2. el Barri Gòtic;2.264,6;1.279,9;758,3;521,5;565,2;334,9;230,3
1;3. la Barceloneta;1.121,6;857,5;433,0;423,5;764,5;386,0;377,5
1;4. Sant Pere, Santa Caterina i la Ribera;2.126,9;982,9;585,0;396,9;462,1;275,1;186,6
2;5. el Fort Pienc;2.301,2;1.679,6;1.036,0;643,6;729,9;450,2;279,7
2;6. la Sagrada Família;3.318,8;2.272,5;1.499,3;773,2;684,7;451,8;233,0
2;7. la Dreta de l'Eixample;7.200,4;5.955,8;3.989,9;1.965,9;827,1;554,1;273,0
2;8. l'Antiga Esquerra de l'Eixample;4.410,9;3.412,7;2.290,4;1.122,3;773,7;519,3;254,4
2;9. la Nova Esquerra de l'Eixample;4.701,0;3.442,1;2.195,8;1.245,1;732,2;467,1;264,9
2;10. Sant Antoni;2.699,5;1.785,7;1.193,0;592,6;661,5;441,9;219,5
3;11. el Poble Sec - Parc Montjuïc;2.709,1;1.541,0;857,1;683,9;568,8;316,4;252,4
3;12. la Marina del Prat Vermell - Zona Franca;4.915,6;2.165,0;1.250,6;914,0;440,4;254,4;185,9
3;13. la Marina de Port;1.771,9;1.000,3;470,2;526,4;564,5;265,4;297,1
3;14. la Font de la Guatlla;625,8;390,6;222,0;168,6;624,1;354,8;269,4
3;15. Hostafrancs;1.170,3;763,1;428,8;334,4;652,1;366,4;285,7
3;16. la Bordeta;1.087,9;679,2;359,5;319,5;624,3;330,5;293,7
3;17. Sants - Badal;1.318,1;784,2;470,0;314,1;594,9;356,6;238,3
3;18. Sants;2.800,3;1.677,7;1.010,9;666,8;599,1;361,0;238,1
4;19. les Corts;4.292,1;3.453,6;2.044,9;1.405,2;804,6;476,4;327,4
4;20. la Maternitat i Sant Ramon;2.624,7;1.818,7;921,6;897,0;692,9;351,1;341,8
4;21. Pedralbes;1.815,3;1.631,2;1.033,0;598,2;898,6;569,0;329,6
5;22. Vallvidrera, el Tibidabo i les Planes;448,5;354,4;212,0;142,4;790,2;472,8;317,4
5;23. Sarrià;2.310,3;1.840,3;1.133,6;706,7;796,6;490,7;305,9
5;24. les Tres Torres;1.764,6;1.482,4;854,5;628,0;840,1;484,2;355,9
5;25. Sant Gervasi - la Bonanova;2.804,6;2.166,1;1.289,6;876,6;772,3;459,8;312,5
5;26. Sant Gervasi - Galvany;5.794,9;4.744,3;3.088,2;1.656,0;818,7;532,9;285,8
5;27. el Putxet i el Farró;2.362,1;1.651,7;1.060,7;591,0;699,2;449,1;250,2
6;28. Vallcarca i els Penitents;1.220,0;841,2;468,3;372,9;689,5;383,8;305,7
6;29. el Coll;400,4;221,6;123,1;98,4;553,3;307,5;245,8
6;30. la Salut;940,4;599,9;343,9;256,0;637,9;365,7;272,2
6;31. la Vila de Gràcia;3.759,1;2.232,8;1.510,3;722,6;594,0;401,8;192,2
6;32. el Camp d'en Grassot i Gràcia Nova;2.347,2;1.576,8;1.035,7;541,1;671,8;441,2;230,5
7;33. el Baix Guinardó;1.491,9;914,4;538,5;376,0;612,9;360,9;252,0
7;34. Can Baró;457,4;288,6;170,8;117,8;630,9;373,4;257,5
7;35. el Guinardó;2.163,9;1.227,0;704,5;522,4;567,0;325,6;241,4
7;36. la Font d'en Fargues;591,1;337,0;170,2;166,9;570,2;287,9;282,3
7;37. el Carmel;1.432,7;703,8;363,7;339,8;491,2;253,9;237,2
7;38. la Teixonera;545,8;290,7;145,5;145,2;532,6;266,6;265,9
7;39. Sant Genís dels Agudells;397,7;219,5;113,3;106,2;552,0;284,9;267,1
7;40. Montbau;574,8;337,2;134,7;202,5;586,7;234,3;352,4
7;41. la Vall d'Hebron;429,5;235,5;115,4;120,1;548,3;268,8;279,5
7;42. la Clota;31,7;12,6;8,9;3,7;398,8;280,4;118,3
7;43. Horta;1.500,0;790,6;413,8;376,8;527,0;275,8;251,2
8;44. Vilapicina i la Torre Llobeta;1.403,2;799,7;436,3;363,3;569,9;310,9;258,9
8;45. Porta;1.458,7;832,0;391,1;440,9;570,4;268,1;302,2
8;46. el Turó de la Peira;640,9;342,1;206,8;134,8;533,8;322,6;210,4
8;47. Can Peguera;64,0;25,2;12,4;12,8;393,8;194,5;199,4
8;48. la Guineueta;856,3;481,4;258,2;223,0;562,2;301,5;260,5
8;49. Canyelles;345,0;192,3;96,0;96,2;557,3;278,4;278,9
8;50. les Roquetes;623,6;288,4;136,5;151,8;462,4;218,9;243,5
8;51. Verdun;539,6;286,9;148,6;138,2;531,6;275,5;256,1
8;52. la Prosperitat;1.211,4;629,9;309,3;317,5;520,0;255,4;262,1
8;53. la Trinitat Nova;305,6;159,3;84,4;74,8;521,1;276,1;244,9
8;54. Torre Baró;156,5;79,7;37,4;41,9;509,0;239,1;267,5
8;55. Ciutat Meridiana;304,2;127,2;55,2;72,0;418,1;181,5;236,6
8;56. Vallbona;101,5;49,2;20,8;26,6;484,2;205,2;262,5
9;57. la Trinitat Vella;466,2;232,0;107,5;124,3;497,7;230,7;266,7
9;58. Baró de Viver;127,2;66,2;26,4;39,0;520,2;207,8;307,0
9;59. el Bon Pastor;1.790,6;823,3;392,7;430,0;459,8;219,3;240,1
9;60. Sant Andreu;3.340,8;1.921,4;1.029,3;892,1;575,1;308,1;267,0
9;61. la Sagrera;1.758,4;978,1;539,7;438,4;556,2;306,9;249,3
9;62. el Congrés i els Indians;803,0;470,6;284,9;185,7;586,0;354,8;231,2
9;63. Navas;1.189,2;703,4;416,2;287,2;591,5;350,0;241,5
10;64. el Camp de l'Arpa del Clot;2.167,7;1.334,4;832,4;502,0;615,6;384,0;231,6
10;65. el Clot;1.467,5;918,6;549,6;369,0;626,0;374,5;251,5
10;66. el Parc i la Llacuna del Poblenou;2.257,3;1.496,2;734,0;762,1;662,8;325,2;337,6
10;67. la Vila Olímpica del Poblenou;1.226,5;908,0;482,3;425,7;740,3;393,2;347,1
10;68. el Poblenou;2.265,2;1.448,0;789,1;658,9;639,2;348,4;290,9
10;69. Diagonal Mar i el Front Marítim del Poblenou;1.725,3;1.361,2;588,2;773,0;789,0;340,9;448,0
10;70. el Besòs i el Maresme;1.072,3;648,2;319,2;328,8;604,5;297,7;306,6
10;71. Provençals del Poblenou;1.461,2;1.002,9;578,6;420,1;686,4;395,9;287,5
10;72. Sant Martí de Provençals;1.382,8;788,4;431,6;356,9;570,2;312,1;258,1
10;73. la Verneda i la Pau;1.622,0;874,2;468,4;404,1;538,9;288,8;249,1
