Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat));;;;;;;;;;;
1;1. el Raval;2.953.018;1.781,3;1.014,9;764,6;603,2;343,7;258,9;;;;;;;;;;;
1;2. el Barri Gòtic;2.267.273;1.403,0;826,6;576,5;618,8;364,6;254,3;;;;;;;;;;;
1;3. la Barceloneta;1.142.746;936,4;467,2;468,0;819,4;408,8;409,5;;;;;;;;;;;
1;4. Sant Pere, Santa Caterina i la Ribera;2.125.319;1.085,2;643,7;440,5;510,6;302,9;207,2;;;;;;;;;;;
2;5. el Fort Pienc;2.301.662;1.847,7;1.139,5;708,3;802,8;495,1;307,7;;;;;;;;;;;
2;6. la Sagrada Família;3.319.654;2.501,4;1.647,9;853,4;753,5;496,4;257,1;;;;;;;;;;;
2;7. la Dreta de l'Eixample;7.206.484;6.564,1;4.389,0;2.175,0;910,9;609,0;301,8;;;;;;;;;;;
2;8. l'Antiga Esquerra de l'Eixample;4.413.437;3.758,4;2.519,5;1.238,9;851,6;570,9;280,7;;;;;;;;;;;
2;9. la Nova Esquerra de l'Eixample;4.700.481;3.782,4;2.415,4;1.365,7;804,7;513,9;290,6;;;;;;;;;;;
2;10. Sant Antoni;2.706.470;1.971,2;1.315,3;656,0;728,3;486,0;242,4;;;;;;;;;;;
3;11. el Poble Sec - Parc Montjuïc;2.716.476;1.701,2;946,3;754,8;626,2;348,4;277,9;;;;;;;;;;;
3;12. la Marina del Prat Vermell - Zona Franca;4.555.915;2.674,4;1.345,8;1.328,1;587,0;295,4;291,5;;;;;;;;;;;
3;13. la Marina de Port;1.785.684;1.109,0;516,6;588,4;621,1;289,3;329,5;;;;;;;;;;;
3;14. la Font de la Guatlla;629.076;423,2;235,5;187,6;672,7;374,4;298,3;;;;;;;;;;;
3;15. Hostafrancs;1.179.711;843,4;472,6;370,7;714,9;400,6;314,3;;;;;;;;;;;
3;16. la Bordeta;1.089.882;760,3;407,6;352,5;697,6;374,0;323,4;;;;;;;;;;;
3;17. Sants - Badal;1.317.746;864,1;516,9;347,2;655,7;392,3;263,5;;;;;;;;;;;
3;18. Sants;2.795.319;1.844,2;1.110,4;733,7;659,7;397,2;262,5;;;;;;;;;;;
4;19. les Corts;4.304.267;3.808,1;2.251,0;1.553,1;884,7;523,0;360,8;;;;;;;;;;;
4;20. la Maternitat i Sant Ramon;2.641.498;2.020,0;1.013,1;1.006,8;764,7;383,5;381,2;;;;;;;;;;;
4;21. Pedralbes;1.835.454;1.809,6;1.139,5;670,1;985,9;620,8;365,1;;;;;;;;;;;
5;22. Vallvidrera, el Tibidabo i les Planes;455.150;389,3;228,5;160,7;855,3;502,1;353,2;;;;;;;;;;;
5;23. Sarrià;2.301.527;2.020,4;1.243,3;777,1;877,9;540,2;337,6;;;;;;;;;;;
5;24. les Tres Torres;1.765.641;1.631,0;940,2;690,7;923,7;532,5;391,2;;;;;;;;;;;
5;25. Sant Gervasi - la Bonanova;2.871.432;2.447,3;1.438,1;1.009,3;852,3;500,8;351,5;;;;;;;;;;;
