Dte;Barris;Total;HabitatgesPrincipals;HabitatgesSecundarisTotal;HabitatgesSecundaris;HabitatgesSecundarisDesocupats
;;;;;;
BARCELONA;;811.106;684.078;127.028;38.769;88.259
;;;;;;
1;1. el Raval;22.087;17.752;4.336;874;3.462
1;2. el Barri Gòtic;10.070;8.209;1.861;..;1.485
1;3. la Barceloneta;9.864;8.164;1.700;496;1.203
1;4. Sant Pere, Santa Caterina i la Ribera;13.642;10.380;3.262;769;2.494
2;5. el Fort Pienc;16.255;13.166;3.089;1.193;1.897
2;6. la Sagrada Família;27.641;23.509;4.132;1.099;3.033
2;7. la Dreta de l'Eixample;22.765;18.660;4.105;807;3.299
2;8. l'Antiga Esquerra de l'Eixample;23.900;17.932;5.968;1.698;4.270
2;9. la Nova Esquerra de l'Eixample;32.399;27.115;5.285;1.200;4.085
2;10. Sant Antoni;20.442;17.554;2.888;885;2.003
3;11. el Poble Sec - AEI Parc Montjuïc;19.084;16.516;2.567;795;1.773
3;12. la Marina del Prat Vermelll - AEI Zona Franca;379;309;..;..;..
3;13. la Marina de Port;12.360;11.998;..;..;..
3;14. la Font de la Guatlla;5.068;4.532;536;..;..
3;15. Hostafrancs;7.916;6.820;1.095;413;682
3;16. la Bordeta;9.365;8.220;1.146;405;741
3;17. Sants - Badal;12.327;10.195;2.132;..;1.720
3;18. Sants;23.950;19.229;4.721;1.101;3.620
4;19. les Corts;25.899;19.488;6.410;2.762;3.648
4;20. la Maternitat i Sant Ramon;13.298;9.720;3.578;1.271;2.307
4;21. Pedralbes;5.048;4.007;1.041;475;567
5;22. Vallvidrera, el Tibidabo i les Planes;2.057;1.026;1.030;..;..
5;23. Sarrià;10.941;9.428;1.513;..;1.068
5;24. les Tres Torres;6.900;5.687;1.213;..;943
5;25. Sant Gervasi - la Bonanova;12.685;9.715;2.970;1.100;1.870
5;26. Sant Gervasi - Galvany;25.629;18.387;7.242;2.659;4.583
5;27. el Putxet i el Farró;16.517;12.765;3.752;578;3.174
6;28. Vallcarca i els Penitents;7.805;7.349;456;..;..
6;29. el Coll;3.672;3.387;..;..;..
6;30. la Salut;6.118;5.274;844;..;..
6;31. la Vila de Gràcia;29.920;23.468;6.452;3.763;2.689
6;32. el Camp d'en Grassot i Gràcia Nova;17.991;15.538;2.453;1.386;1.067
7;33. el Baix Guinardó;12.750;11.792;958;..;699
7;34. Can Baró;3.995;3.832;..;..;..
7;35. el Guinardó;17.638;16.007;1.631;719;912
7;36. la Font d'en Fargues;4.500;3.849;651;..;..
7;37. el Carmel;13.509;12.620;889;..;770
7;38. la Teixonera;5.551;4.989;562;..;500
7;39. Sant Genís dels Agudells;3.143;2.816;..;..;..
7;40. Montbau;2.322;2.128;..;..;..
7;41. la Vall d'Hebron;2.452;2.167;..;..;..
7;42. la Clota;197;197;..;..;..
7;43. Horta;12.309;11.154;1.155;471;684
8;44. Vilapicina i la Torre Llobeta;12.183;11.095;1.087;..;868
8;45. Porta;12.500;11.072;1.429;..;1.139
8;46. el Turó de la Peira;7.219;6.321;898;..;700
8;47. Can Peguera;1.514;987;..;..;..
8;48. la Guineueta;7.538;6.898;640;..;..
8;49. Canyelles;2.714;2.619;..;..;..
8;50. les Roquetes;6.037;5.312;725;..;..
8;51. Verdun;5.969;5.780;..;..;..
8;52. la Prosperitat;12.476;11.005;1.471;..;1.198
8;53. la Trinitat Nova;3.006;2.522;484;..;..
8;54. Torre Baró;735;517;..;..;..
8;55. Ciutat Meridiana;4.836;3.730;1.106;..;871
8;56. Vallbona;428;428;..;..;..
9;57. la Trinitat Vella;3.554;3.092;..;..;..
9;58. Baró de Viver;1.148;890;..;..;..
9;59. el Bon Pastor;5.039;4.336;703;..;571
9;60. Sant Andreu;27.761;24.576;3.185;944;2.241
9;61. la Sagrera;13.978;12.167;1.811;509;1.301
9;62. el Congrés i els Indians;6.656;5.963;694;..;535
9;63. Navas;11.920;10.659;1.261;..;921
10;64. el Camp de l'Arpa del Clot;20.849;16.993;3.857;807;3.050
10;65. el Clot;12.562;11.700;862;..;577
10;66. el Parc i la Llacuna del Poblenou;7.301;6.202;1.098;378;721
10;67. la Vila Olímpica del Poblenou;3.935;3.746;..;..;..
10;68. el Poblenou;15.970;13.723;2.247;418;1.828
10;69. Diagonal Mar i el Front Marítim del Poblenou;6.746;5.734;1.012;449;564
10;70. el Besòs i el Maresme;8.441;7.611;829;..;..
10;71. Provençals del Poblenou;9.953;8.343;1.610;..;1.272
10;72. Sant Martí de Provençals;12.426;11.322;1.104;..;773
10;73. la Verneda i la Pau;13.353;11.683;1.670;..;1.292
