Dte.;Barris;2011;2010;2009;2008;2007;;;
1;1. el Raval;72,7;80,3;85,9;100,0;113,9;;;
1;2. el Barri Gòtic;75,2;84,3;84,3;100,0;110,8;;;
1;3. la Barceloneta;81,8;89,3;90,5;100,0;110,3;;;
1;4. Sant Pere, Santa Caterina i la Ribera;79,5;87,1;86,8;100,0;110,6;;;
2;5. el Fort Pienc;80,6;88,5;91,9;100,0;109,5;;;
2;6. la Sagrada Família;80,2;87,4;88,0;100,0;111,1;;;
2;7. la Dreta de l'Eixample;85,1;95,6;93,1;100,0;110,4;;;
2;8. l'Antiga Esquerra de l'Eixample;80,2;87,7;90,1;100,0;110,4;;;
2;9. la Nova Esquerra de l'Eixample;78,6;88,8;89,4;100,0;109,6;;;
2;10. Sant Antoni;78,4;85,1;88,9;100,0;109,7;;;
3;11. el Poble Sec - Parc Montjuïc;73,3;81,0;86,0;100,0;112,2;;;
3;12. la Marina del Prat Vermell - Zona Franca;--;--;--;--;--;;;
3;13. la Marina de Port;78,4;86,6;91,2;100,0;111,5;;;
3;14. la Font de la Guatlla;76,4;86,9;92,0;100,0;111,9;;;
3;15. Hostafrancs;74,4;83,2;86,7;100,0;113,8;;;
3;16. la Bordeta;75,9;86,6;89,1;100,0;109,4;;;
3;17. Sants - Badal;72,9;80,2;85,3;100,0;109,7;;;
3;18. Sants;74,0;82,0;87,1;100,0;110,8;;;
4;19. les Corts;86,0;89,9;88,9;100,0;106,5;;;
4;20. la Maternitat i Sant Ramon;78,8;88,4;91,3;100,0;108,9;;;
4;21. Pedralbes;90,0;104,8;97,9;100,0;107,2;;;
5;22. Vallvidrera, el Tibidabo i les Planes;77,3;85,3;88,3;100,0;103,9;;;
5;23. Sarrià;86,2;96,2;95,5;100,0;108,1;;;
5;24. les Tres Torres;82,8;91,3;95,2;100,0;104,6;;;
5;25. Sant Gervasi - la Bonanova;82,4;93,8;91,6;100,0;113,4;;;
5;26. Sant Gervasi - Galvany;82,1;90,7;92,4;100,0;105,5;;;
5;27. el Putxet i el Farró;79,9;86,7;91,3;100,0;107,7;;;
6;28. Vallcarca i els Penitents;84,4;86,4;90,1;100,0;107,8;;;
6;29. el Coll;77,0;86,7;89,7;100,0;109,8;;;
6;30. la Salut;81,9;88,9;88,9;100,0;110,6;;;
6;31. la Vila de Gràcia;81,2;91,5;92,7;100,0;109,2;;;
6;32. el Camp d'en Grassot i Gràcia Nova;81,0;89,1;91,1;100,0;109,3;;;
7;33. el Baix Guinardó;80,4;90,1;90,6;100,0;108,5;;;
7;34. Can Baró;75,2;81,8;87,3;100,0;107,4;;;
7;35. el Guinardó;78,0;85,9;89,2;100,0;110,9;;;
7;36. la Font d'en Fargues;81,6;87,7;88,1;100,0;114,9;;;
7;37. el Carmel;74,3;84,6;86,1;100,0;112,8;;;
7;38. la Teixonera;72,9;81,3;85,8;100,0;108,2;;;
7;39. Sant Genís dels Agudells;75,6;83,1;83,4;100,0;110,1;;;
7;40. Montbau;73,7;83,2;89,1;100,0;109,6;;;
7;41. la Vall d'Hebron;82,8;94,3;95,9;100,0;111,6;;;
7;42. la Clota;--;--;--;--;--;;;
7;43. Horta;76,6;83,6;88,8;100,0;112,3;;;
8;44. Vilapicina i la Torre Llobeta;75,5;83,5;87,0;100,0;113,0;;;
8;45. Porta;72,5;81,6;85,5;100,0;112,3;;;
8;46. el Turó de la Peira;73,6;84,3;86,5;100,0;115,1;;;
8;47. Can Peguera;--;--;--;--;--;;;
8;48. la Guineueta;75,3;79,8;86,4;100,0;109,8;;;
8;49. Canyelles;81,9;90,4;91,2;100,0;115,6;;;
8;50. les Roquetes;71,6;80,1;89,4;100,0;116,3;;;
8;51. Verdun;73,1;81,6;86,5;100,0;115,8;;;
8;52. la Prosperitat;72,1;79,4;84,7;100,0;112,8;;;
8;53. la Trinitat Nova;63,9;76,1;87,3;100,0;117,6;;;
8;54. Torre Baró;68,4;75,1;92,5;100,0;126,9;;;
8;55. Ciutat Meridiana;60,6;69,3;81,4;100,0;110,8;;;
8;56. Vallbona;--;--;--;--;--;;;
9;57. la Trinitat Vella;65,0;73,1;81,6;100,0;109,4;;;
9;58. Baró de Viver;77,1;84,5;96,7;100,0;103,4;;;
9;59. el Bon Pastor;79,5;89,1;91,7;100,0;114,5;;;
9;60. Sant Andreu;77,2;84,2;89,6;100,0;113,0;;;
9;61. la Sagrera;74,4;84,0;86,5;100,0;110,1;;;
9;62. el Congrés i els Indians;72,5;82,5;88,5;100,0;115,9;;;
9;63. Navas;73,1;83,4;91,4;100,0;110,6;;;
10;64. el Camp de l'Arpa del Clot;78,2;86,3;89,7;100,0;112,9;;;
10;65. el Clot;77,9;85,8;89,5;100,0;110,7;;;
10;66. el Parc i la Llacuna del Poblenou;77,4;87,6;91,2;100,0;107,3;;;
10;67. la Vila Olímpica del Poblenou;89,2;92,0;95,7;100,0;104,8;;;
10;68. el Poblenou;83,3;88,1;90,2;100,0;108,2;;;
10;69. Diagonal Mar i el Front Marítim del Poblenou;89,4;95,0;93,1;100,0;107,3;;;
10;70. el Besòs i el Maresme;63,5;72,5;78,4;100,0;109,1;;;
10;71. Provençals del Poblenou;81,3;89,9;93,4;100,0;111,7;;;
10;72. Sant Martí de Provençals;72,9;81,3;85,1;100,0;114,2;;;
10;73. la Verneda i la Pau;72,6;81,0;83,2;100,0;118,3;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
