DTE;BARRIS;MITJANA
1;1. el Raval;2401
1;2. el Barri Gòtic;3192
1;3. la Barceloneta;3490
1;4. Sant Pere, Santa Caterina i la Ribera;3202
2;5. el Fort Pienc;2917
2;6. la Sagrada Família;2869
2;7. la Dreta de l Eixample;
2;8. l Antiga Esquerra de l Eixample;3407
2;9. la Nova Esquerra de l Eixample;3016
2;10. Sant Antoni;2863
3;11. el Poble Sec-AEI Parc Montjuïc;2310
3;12. la Marina del Prat Vermell-AEI Zona Franca;
3;13. la Marina de Port;2130
3;14. la Font de la Guatlla;2475
3;15. Hostafrancs;2501
3;16. la Bordeta;2233
3;17. Sants-Badal;2623
3;18. Sants;2560
4;19. les Corts;3536
4;20. la Maternitat i Sant Ramon;3371
4;21. Pedralbes;4946
5;22. Vallvidrera, el Tibidabo i les Planes;
5;23. Sarrià;4447
5;24. les Tres Torres;4488
5;25. Sant Gervasi-la Bonanova;3809
5;26. Sant Gervasi-Galvany;3882
5;27. el Putxet i el Farró;3237
6;28. Vallcarca i els Penitents;3118
6;29. el Coll;2374
6;30. la Salut;2769
6;31. la Vila de Gràcia;3174
6;32. el Camp d en Grassot i Gràcia Nova;2846
7;33. el Baix Guinardó;2541
7;34. Can Baró;2435
7;35. el Guinardó;2416
7;36. la Font d en Fargues;2702
7;37. el Carmel;1794
7;38. la Teixonera;1999
7;39. Sant Genís dels Agudells (1);1943
7;40. Montbau (1);
7;41. la Vall d Hebron;
7;42. la Clota;
7;43. Horta;2269
8;44. Vilapicina i la Torre Llobeta;2200
8;45. Porta;2058
8;46. el Turó de la Peira (2);2014
8;47. Can Peguera (2);
8;48. la Guineueta;
8;49. Canyelles (3);
8;50. les Roquetes (3);1745
8;51. Verdun;1909
8;52. la Prosperitat;1973
8;53. la Trinitat Nova;
8;54. Torre Baró (4);
8;55. Ciutat Meridiana (4);1360
8;56. Vallbona (4);
9;57. la Trinitat Vella;1677
9;58. Baró de Viver;
9;59. el Bon Pastor;1973
9;60. Sant Andreu;2178
9;61. la Sagrera;2475
9;62. el Congrés i els Indians;
9;63. Navas;
10;64. el Camp de l Arpa del Clot;2418
10;65. el Clot;2452
10;66. el Parc i la Llacuna del Poblenou;2630
10;67. la Vila Olímpica del Poblenou;3987
10;68. el Poblenou;2942
10;69. Diagonal Mar i el Front Marítim del Poblenou;4391
10;70. el Besòs i el Maresme;2008
10;71. Provençals del Poblenou;2603
10;72. Sant Martí de Provençals;
10;73. la Verneda i la Pau;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
