Dte;Barris;Total;UnaPersona;DuesPersones;TresPersones;QuatrePersones;CincPersones;SisPersonesOMes
;;;;;;;;
BARCELONA;;684.078;198.052;230.095;127.577;93.294;25.780;9.280
;;;;;;;;
1;1. el Raval;17.752;5.936;5.179;2.787;1.830;1.228;792
1;2. el Barri Gòtic;8.209;2.585;3.363;1.138;806;..;..
1;3. la Barceloneta;8.164;2.884;2.579;1.530;701;315;..
1;4. Sant Pere, Santa Caterina i la Ribera;10.380;4.109;2.944;1.652;1.139;387;..
2;5. el Fort Pienc;13.166;3.832;4.343;2.477;1.998;367;..
2;6. la Sagrada Família;23.509;7.729;7.378;4.438;3.413;479;..
2;7. la Dreta de l'Eixample;18.660;6.246;6.147;3.085;2.398;581;202
2;8. l'Antiga Esquerra de l'Eixample;17.932;5.729;6.578;2.946;1.903;635;142
2;9. la Nova Esquerra de l'Eixample;27.115;7.898;10.027;4.600;3.542;805;243
2;10. Sant Antoni;17.554;5.827;6.360;3.227;1.427;492;222
3;11. el Poble Sec - AEI Parc Montjuïc;16.516;5.377;5.456;2.952;1.582;840;309
3;12. la Marina del Prat Vermelll - AEI Zona Franca;309;..;..;..;..;..;..
3;13. la Marina de Port;11.998;2.858;3.800;2.278;2.293;462;307
3;14. la Font de la Guatlla;4.532;1.269;1.603;939;666;..;..
3;15. Hostafrancs;6.820;2.316;2.226;1.183;873;..;..
3;16. la Bordeta;8.220;2.171;2.862;1.850;1.104;232;..
3;17. Sants - Badal;10.195;2.793;3.713;1.595;1.445;408;..
3;18. Sants;19.229;5.407;7.090;3.357;2.373;622;380
4;19. les Corts;19.488;4.972;6.612;3.921;3.147;746;..
4;20. la Maternitat i Sant Ramon;9.720;2.325;3.514;2.087;1.537;214;..
4;21. Pedralbes;4.007;867;1.334;669;705;231;202
5;22. Vallvidrera, el Tibidabo i les Planes;1.026;176;302;230;185;122;..
5;23. Sarrià;9.428;2.440;2.577;1.745;1.621;881;164
5;24. les Tres Torres;5.687;1.210;1.710;944;992;608;223
5;25. Sant Gervasi - la Bonanova;9.715;2.693;2.622;1.699;1.680;744;277
5;26. Sant Gervasi - Galvany;18.387;5.515;6.086;2.967;2.301;1.223;294
5;27. el Putxet i el Farró;12.765;3.732;4.291;2.049;1.868;651;173
6;28. Vallcarca i els Penitents;7.349;2.427;2.391;1.211;926;313;..
6;29. el Coll;3.387;1.156;938;647;557;..;..
6;30. la Salut;5.274;1.681;1.687;1.032;638;204;..
6;31. la Vila de Gràcia;23.468;8.318;8.580;3.382;2.319;611;258
6;32. el Camp d'en Grassot i Gràcia Nova;15.538;4.942;5.355;2.702;2.028;335;176
7;33. el Baix Guinardó;11.792;3.585;3.607;2.506;1.571;518;..
7;34. Can Baró;3.832;988;1.316;886;474;162;..
7;35. el Guinardó;16.007;4.533;6.096;2.900;2.078;315;..
7;36. la Font d'en Fargues;3.849;942;1.298;787;708;..;..
7;37. el Carmel;12.620;3.260;4.439;2.518;1.806;367;230
7;38. la Teixonera;4.989;1.093;1.797;1.138;703;136;..
7;39. Sant Genís dels Agudells;2.816;833;1.023;448;368;..;..
7;40. Montbau;2.128;698;747;349;223;..;..
7;41. la Vall d'Hebron;2.167;649;602;462;334;..;..
7;42. la Clota;197;..;..;..;..;..;..
7;43. Horta;11.154;2.829;3.997;2.033;1.807;395;..
8;44. Vilapicina i la Torre Llobeta;11.095;2.868;3.578;2.517;1.739;346;..
8;45. Porta;11.072;3.209;3.824;2.312;1.298;322;..
8;46. el Turó de la Peira;6.321;2.070;2.013;998;742;227;271
8;47. Can Peguera;987;310;284;..;205;..;..
8;48. la Guineueta;6.898;1.734;2.297;1.350;1.146;176;..
8;49. Canyelles;2.619;557;785;692;408;..;..
8;50. les Roquetes;5.312;1.139;1.664;1.174;875;254;..
8;51. Verdun;5.780;1.544;1.964;1.267;559;353;..
8;52. la Prosperitat;11.005;2.829;3.675;2.216;1.733;331;221
8;53. la Trinitat Nova;2.522;824;745;423;448;..;..
8;54. Torre Baró;517;111;165;..;..;..;..
8;55. Ciutat Meridiana;3.730;752;1.185;658;637;453;..
8;56. Vallbona;428;126;..;..;..;..;..
9;57. la Trinitat Vella;3.092;674;889;533;764;210;..
9;58. Baró de Viver;890;312;297;..;125;..;..
9;59. el Bon Pastor;4.336;972;1.437;1.047;660;99;..
9;60. Sant Andreu;24.576;6.440;8.057;5.433;3.820;715;112
9;61. la Sagrera;12.167;3.228;4.280;2.404;1.558;476;..
9;62. el Congrés i els Indians;5.963;1.947;2.045;944;836;190;..
9;63. Navas;10.659;3.180;3.523;2.209;1.268;311;168
10;64. el Camp de l'Arpa del Clot;16.993;5.167;6.073;2.910;1.930;702;211
10;65. el Clot;11.700;2.768;3.863;2.611;2.095;335;..
10;66. el Parc i la Llacuna del Poblenou;6.202;1.890;2.023;1.246;803;215;..
10;67. la Vila Olímpica del Poblenou;3.746;969;1.027;807;740;191;..
10;68. el Poblenou;13.723;3.340;4.927;2.526;2.359;421;..
10;69. Diagonal Mar i el Front Marítim del Poblenou;5.734;1.991;1.617;1.180;708;171;..
10;70. el Besòs i el Maresme;7.611;2.073;2.186;1.573;1.190;314;..
10;71. Provençals del Poblenou;8.343;2.091;2.917;1.675;1.228;327;..
10;72. Sant Martí de Provençals;11.322;3.164;3.989;2.424;1.462;179;..
10;73. la Verneda i la Pau;11.683;2.836;3.968;2.612;1.692;425;..
